uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
17.85,0.019,17.109,0.018,15.146,0.01,
17.88,0.019,17.158,0.018,15.192,0.01,
17.905,0.019,17.208,0.018,15.225,0.01,
17.925,0.019,17.236,0.018,15.25,0.01,
17.94,0.018,17.294,0.018,15.285,0.01,
17.95,0.018,17.329,0.018,15.305,0.008,
17.955,0.018,17.375,0.018,15.333,0.008,
17.955,0.018,17.43,0.018,15.358,0.008,
18.05,0.028,17.46,0.018,15.375,0.008,
18.14,0.028,17.507,0.018,15.392,0.01,
18.225,0.028,17.562,0.018,15.449,0.01,
18.305,0.028,17.585,0.018,15.49,0.01,
18.38,0.028,17.633,0.018,15.512,0.018,
18.45,0.028,17.689,0.018,15.534,0.018,
18.515,0.028,17.739,0.018,15.548,0.018,
18.575,0.028,17.776,0.018,15.576,0.018,
18.63,0.028,17.839,0.018,15.6,0.018,
18.68,0.028,17.889,0.018,15.608,0.01,
18.725,0.018,17.958,0.018,15.637,0.018,
18.765,0.018,17.974,0.015,15.697,0.02,
18.8,0.018,18.009,0.015,15.73,0.02,
18.83,0.018,18.039,0.022,15.765,0.02,
18.855,0.018,18.073,0.022,15.801,0.02,
18.875,0.017,18.132,0.022,15.828,0.02,
18.89,0.017,18.183,0.022,15.845,0.02,
18.9,0.017,18.24,0.022,15.89,0.016,
18.905,0.02,18.287,0.022,15.922,0.02,
18.905,0.021,18.337,0.022,15.942,0.016,
19.0,0.021,18.387,0.022,15.989,0.02,
19.09,0.021,18.419,0.025,16.009,0.02,
19.175,0.021,18.476,0.025,16.05,0.024,
19.255,0.021,18.521,0.025,16.072,0.02,
19.33,0.021,18.551,0.022,16.098,0.026,
19.4,0.021,18.591,0.022,16.135,0.024,
19.465,0.021,18.619,0.022,16.153,0.022,
19.525,0.021,18.669,0.022,16.182,0.023,
19.58,0.021,18.729,0.022,16.205,0.02,
19.63,0.021,18.801,0.022,16.23,0.02,
19.675,0.021,18.843,0.022,16.253,0.02,
19.715,0.021,18.897,0.022,16.276,0.022,
19.75,0.021,18.919,0.022,16.311,0.02,
19.78,0.021,18.974,0.022,16.378,0.02,
19.805,0.021,19.016,0.022,16.427,0.02,
19.825,0.018,19.047,0.022,16.471,0.012,
19.84,0.018,19.1,0.022,16.501,0.022,
19.85,0.019,19.128,0.022,16.536,0.02,
19.855,0.019,19.2,0.022,16.565,0.023,
19.855,0.019,19.25,0.022,16.606,0.015,
19.95,0.019,19.29,0.022,16.629,0.015,
20.04,0.019,19.326,0.022,16.641,0.012,
20.125,0.019,19.356,0.022,16.658,0.014,
20.205,0.019,19.416,0.022,16.675,0.012,
20.28,0.019,19.459,0.022,16.694,0.012,
20.35,0.019,19.493,0.022,16.74,0.02,
20.415,0.019,19.541,0.022,16.759,0.02,
20.475,0.019,19.572,0.022,16.794,0.022,
20.53,0.019,19.62,0.022,16.836,0.014,
20.58,0.019,19.669,0.022,16.867,0.017,
20.625,0.019,19.737,0.022,16.911,0.012,
20.665,0.019,19.777,0.022,16.944,0.012,
20.7,0.019,19.825,0.022,16.988,0.012,
20.73,0.019,19.857,0.022,17.024,0.012,
20.755,0.02,19.902,0.022,17.062,0.016,
20.775,0.02,19.956,0.022,17.122,0.02,
20.79,0.02,19.987,0.022,17.163,0.02,
20.8,0.02,20.038,0.022,17.187,0.023,
20.805,0.02,20.064,0.022,17.209,0.022,
20.805,0.02,20.114,0.022,17.254,0.012,
20.9,0.02,20.154,0.022,17.277,0.02,
20.99,0.02,20.238,0.022,17.31,0.012,
21.075,0.02,20.288,0.022,17.357,0.012,
21.155,0.02,20.33,0.022,17.369,0.012,
21.23,0.02,20.376,0.022,17.405,0.014,
21.3,0.02,20.426,0.022,17.419,0.025,
21.365,0.02,20.468,0.022,17.476,0.023,
21.425,0.02,20.497,0.022,17.523,0.023,
21.48,0.02,20.545,0.022,17.552,0.025,
21.53,0.02,20.6,0.022,17.58,0.023,
21.575,0.02,20.657,0.022,17.636,0.023,
21.615,0.02,20.691,0.022,17.681,0.023,
21.65,0.02,20.752,0.022,17.726,0.016,
21.68,0.02,20.788,0.022,17.745,0.023,
21.705,0.02,20.813,0.022,17.783,0.026,
21.725,0.02,20.868,0.022,17.834,0.019,
21.74,0.02,20.907,0.022,17.859,0.019,
21.75,0.02,20.988,0.022,17.873,0.016,
21.755,0.02,21.043,0.022,17.892,0.016,
21.755,0.02,21.069,0.022,17.916,0.012,
21.85,0.02,21.113,0.022,17.981,0.016,
21.94,0.02,21.142,0.019,18.008,0.016,
22.025,0.02,21.183,0.019,18.027,0.012,
22.105,0.02,21.239,0.019,18.066,0.023,
22.18,0.02,21.29,0.019,18.121,0.023,
22.25,0.02,21.357,0.019,18.164,0.012,
22.315,0.02,21.402,0.019,18.199,0.012,
22.375,0.02,21.445,0.02,18.232,0.012,
22.43,0.02,21.464,0.019,18.264,0.022,
22.48,0.02,21.499,0.019,18.304,0.022,
22.525,0.02,21.545,0.019,18.346,0.022,
22.565,0.02,21.6,0.019,18.369,0.022,
22.6,0.02,21.625,0.019,18.418,0.022,
22.63,0.02,21.668,0.019,18.448,0.022,
22.655,0.02,21.708,0.019,18.481,0.022,
22.675,0.02,21.75,0.019,18.514,0.016,
22.69,0.02,21.803,0.019,18.561,0.016,
22.7,0.02,21.823,0.019,18.593,0.016,
22.705,0.02,21.852,0.019,18.61,0.017,
22.705,0.02,21.884,0.019,18.653,0.017,
22.8,0.019,21.919,0.019,18.673,0.017,
22.89,0.019,21.943,0.019,18.705,0.017,
22.975,0.019,21.991,0.019,18.732,0.016,
23.055,0.019,22.062,0.019,18.76,0.016,
23.13,0.019,22.128,0.019,18.782,0.016,
23.2,0.019,22.175,0.019,18.82,0.016,
23.265,0.019,22.227,0.019,18.865,0.016,
23.325,0.019,22.3,0.019,18.912,0.016,
23.38,0.019,22.341,0.019,18.942,0.016,
23.43,0.019,22.368,0.019,18.973,0.016,
23.475,0.019,22.406,0.019,19.023,0.022,
